,desc,plus_rev,minus_rev,comment_rev
36," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Низкий расход, низкая стоимость эксплуатации (налог, расходники), супер надежный  за 4 года серьезных поломок не было. Много интересных технологических решений (бесключевой доступ, автопарковка и тд). Заводится в любую погоду. Хорошая динамика.",Есть масложлор в силу того что авто всегда недогретый работает. Низкий клиренс.Плохая заводская пластиковая защита ДВС (поставил металическую за 2500 рублей и забыл).,"В основном плановая замена расходников. Менял ступицы (здесь подшипники отдельно не меняются), передние тормозные диски и колодки на 150000 пробега. Менял маленький аккумулятор в 2019 году (стоял родной 2008 года выпуска). И всё ничего не ломается."
37," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Отличная вместительная Экономная машинка.,Очень низкая.,"За 3 года владения поменял только водяную помпу, пыльники."
38," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень хороший гибридный автомобиль!,Минусов нет.,Всегда вовремя надо менять расходники.
39," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Да всё в авто «плюс»! Возможно, просто повезло, за 6 лет никаких проблем.",,Только масло два раза в год и мойка периодически)) и вот однажды полетел бензиновый датчик.
40," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 G LED edition ","Комфортный, очень вместительный, надёжный, стильный, экономичный...",Шумоизоляция в 30 приусах очень хромая.,"За 4 года поменял втулки стабилизатора, 1 стойку (видемо с Японии хромая пришла), отремонтировал рулевую рейку. И ВСЁ!!!"
41," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход топлива. Надёжно. Стоимость запчастей.,Маленький клиренс.,"Машине 11 лет. Владел семь лет. Заменил ступечный подшипник, улитку на рулевом. Замена сгоревших лампочек. Из неприятного, пластик всё-таки со временем начинает скрипеть. И это лёгкое шуршание поскрипывает в тишине раздражает."
42," Prius, 2002 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Ни разу не подводил. Ездили на нем до Анапы и обратно. В дороге показал себя как надёжный друг,"Внешний вид. Но, все можно исправить ",
43," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность,,
44," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход смешной, едит отлично. Подвеска огонь",Шумоизоляция га..о.,
45," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",,Кузов,
46," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S LED edition ",Экономия,Шумность,Батарея
47," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","экономичность, динамика, надежность",нет,"100000 замена егр
150000 линки и рулевые наконечники
180000 и 250000 инвертор замена на б/у
200000 маслосьемные колпачки и кольца"
48," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Удобный авто,Двигатель ест много масла,Рулевая рейка и помпа охлаждения двигателя
49," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономия топлива, недорогое обслуживание.",,Линки и сайлентблоки менял один раз в год (не оригинал). 
50," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",мало жрет,"неисправный приус умеет ебать мозги (может не поехать, остановиться, не включиться) гораздо лучше железных автомобилей",
51," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход топлива,Подъедает немного масло,Нет
52," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Нормальная машина,Зимой печка долго греятся,
53," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,,
54," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Гибрид,Нет,Послужила верой и правдой
55," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Практичный,Разгон,Батарею
56," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Расход,плавность хода,шумка норм.","Низковат,лечится проставками.","Все решаемо,с гибридной частью проблем не было"
57," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Расход, надежность",Двигатель склонен к масложору,
58," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 ",Экономичная. Дешёвая в обслуживании не считая батареи.,,
59," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Практичный, беспроблемный, надежный авто. Для города само то. ",,
60," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",большая экономичность.,нет минусов.,"Что то менялось, но свой срок вырабатывало. Китайские запчасти не рекомендую."
61," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надежный, шустрый","Салон, лучше делать шумку сразу",Ничего
62," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход топлива,Клиренс,
63," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный и шустрый. Хорошая аэродинамика,Низкий передний бампер,Втулки стабилизатора
64," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",Расход,,Помпа
65," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ","Экономичный, вместительность, надёжный",Маленький клиренс,На 140000 левый наружный шрус
66," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность, динамика, нвдёжность",,
67," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ","Расход топлива, вместительный салон",За три года эксплуатации не выявлено,Замена рулевого карданчика
68," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",Небольшой расход,,
69," Prius, 1999 год, Бензин, Автомат, Передний привод ",Экономичный,Маленькая,Нету
70," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход,Комфорт,Ничего надежный авто
71," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичность,Долгие прогревы зимой,"На 200тыс км ходовая, и рулевая рейка."
72," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход машины просто сказка,Единственный минус это клиренс,
73," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Нетоаалао аоаокививо,Нетьчьбаьчиияиуь вовта а алалалл,Нетщоаовтлалатвтвтв
74," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход,Подшипники,Ступица
75," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","очень технологичный автомобиль,очень надежный.","низкая посадка,высокая стоимость",
76," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 S standard package ","Расход, шумоизоляция, динамика","Жёсткая подвеска, габариты",Отсутствуют
77," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход топлива,Не увидел,Небыло
78," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень мягкая подвеска,АКБ в багажнике!!!,
79," Prius, 2016 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 A ",Супер экономичная,Низкий клиренс,Ни чего
80," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","+ простота в эксплуатации
+ надёжность
+ дешевые запчасти и расходники
+ экономичность
+ Практичный большой салон 
+ хорошо держит трассу на широкой резине (стояла 215/45 r17)","- долго греется зимой
- скрипучей пластик в салоне
- низкий клиренс и длинные свесы
- стереотипы относительно приуса","сгорела лампа ближего света
втулки стабилизатора ( цена 600р за пару)"
81," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход топлива,Штатная шумоподавлчемость,Не чего
82," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, резвый",Клиренс маленький,Ничего
83," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономный, надежный. ",Низкий. ,
84," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход, надежность","Салон, клиренс",
85," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Очень экономный.Круиз-контроль.Спортивный вид.,"Клиренс 14 см. -  это очень мало.
Джойстик вариатора лучше чтобы был как в Приус Альфа.",
86," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 CVT Executive ",Расход радует,Это все такие королла,"Только текущий ремонт, сайлентблоки, масло, фильтра."
87," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Нет,Ходовая
88," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Мало ест, долговечен, популярный автомобиль - за счет того нет проблемы с запчастями, крепкий",Маленький аккумулятор ,
89," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 G touring selection leather package ",Расход,Ничего,Ничего
90," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",,Низкий,
91," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Комфортная, экономная",Батарея долго не живет,
92," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Максимальной комплектации,,
93," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Платить налог не надо, расход бензина маленький",,
94," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","экономичный, не прихотливый, простой.",низковат.,подшипник передней ступицы - 200 000 км.
95," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность, дешевое обслуживание, надежность","Гремучий салон,",Двс
96," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Прост в обслуживание,,
97," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 G ",Цвет и хорошее состояние батареи и двигателя,Большой пробег,Батарея и помпа были заменены.
98," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономия во всём.,Недостатков нет.,Серьезных поломок не было.
99," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надёжность, неприхотливость, вместительность, экономичность.","Скрипучий пластик салона, плохая шумоизоляция",
100," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, резвый, надежный, заводится в любой мороз, отличный свет, акустика на высоте 6 динамиков.","Шумка, ходовая жесткая, меня бесила только шумка, и дребезг пластика. Для кого то может будет низковат, я ставил проставки","Пробег 180’000км поломок не было, надежный как автомат калашникова, менял только расходники."
101," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, резвый",,
102," Prius, 2011 год, 1800 куб. см., Гибрид, Вариатор, Передний привод ","Экономичный по городу в среднем выходит 4.5-5.5 литров. По трассе 5.5-7.0  Обычно около 6.5 при скорости от 160-186кмч Скорость ограничена электронно почему-то ровно на 186кмч на ней стабильно идет как под горку так и на спусках. Со скорости 160 до максималистки очень резво набирается, то есть запас мощности у нее есть. Поставил светодиодки в ближний свет и прозрел по сравнению со штатными, линзы очень хорошо фокусируют и режут луч. Динамика отличная 2.0 л даже дизилей обставляет нараз. Конечно не форд мустанг но и автомобиль не для того предназначен. Комфортный в дальних поездках, за сутки прошел 1200 км. особой усталости не чувствовал. Держит дорогу отлично, по серпантину а Грузинских горах на 110кмч входил в повороты, аж задние колеса взвизгивали от заноса, а на больших скоростях ощущение как будто прижимается к дороге. Печка отлично греет, кондер чуть хуже, но достаточно. Хороший автомобиль.","Клиренс низкий. Задний бампер со временем начинает сползать и немного меняется зазор между крылом и бампером если присмотреться. Пластик хоть и надежный но приходится иногда охотится на сверчков, убиваются успешно силиконовой смазкой-спреем. В местах закрытия багажника вытирается краска, нужно подкрашивать. Штатный свет слабый, устраняется заменой ламп. Дальше не знаю к чему придраться. Говорят что есть болячка у движков, пробивает прокладку между ГБЦ. где-то на 120000. У меня 160000 проблем таких нет.","Замена ламп габаритов.
Замена ламп ближнего света. 
Замена Газовых стоек задней крышки багажника. (В мороз иногда прилетало по черепушке)
Замена кронштейна заднего бампера, чтоб зазор был идеальный."
103," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ","Экономичный,  хорошо идёт по дороге.",Низкий,
104," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, средняя - хорошая ходовка, надежная. Салон комфортный для длительной езды. Двигатель с батареей за 3,5 года ни разу не подвели. В целом машина хорошая, к покупке рекомендую, полноценный нормальный седан, плюс вместительный багажник (для своих размеров машины). Заводится в любой мороз (2 дня стояла при ночной температуре -30, завелась легко, сел и поехал).","Минусов у машины нет. (если бензин не пр....ь.))))), во время меняйте масло и всё.","За 3,5 года ни одной поломки! Всё просто - завел и поехал."
105," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Супеп,,
106," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, надёжный",——,Ничего
107," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Низкий расход, неубиваемая ходовая часть","Во время следить за ввб, не насиловать пока элементы не все накрылись.",
108," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Динамичный,Пластик легко царапается,Рулевая рейка
109," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S LED edition ","Экономичный, резвый, вместительный.","Ходовка на любителя - валкая, задняя балка не дает возможности раскрыть потенциал машины.","За все время только расходники, поломок не было, двигатель масло не жрал пробег 262000 0w20"
110," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Отличный, экономичный автомобиль для городского использования.",Не хватает шумоизоляции.,За 3 года владения ни одной поломки.
111," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход ,динамикп",Нету,
112," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономный, красивый, резвый",Обзор в зеркалах заднего вида.,
113," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономия топлива, большой салон",Нет,Нет
114," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, надёжный, быстрый, хорошо держит дорогу",Низкий,Изредка ошибки
115," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономия,Батарея,
116," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Маленький расход,Скрипучий салон,Нечего
117," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Надёжный, экономичный городской автомобиль. В меру вместителен. ","Низкий клиренс, проблема решается с помощью проставок. Больше не обнаружил. ",Менял только расходники. Есть болячка у данного авто - течь пятой двери (где переход от крыши в багажник образуютя микротрещины) вода стекает в нишу с АКБ. Проблема решается гирметиком. 
118," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","реальный пробег, бережное отношение к автомобилю, отсутствие аварий, качественное обслуживание",год выпуска,"шарниры переднего стабилизатора (38 000 км), шаровые опоры (41 000), сайлентблоки переднего рычага (48 000)"
119," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Маленький расход топлива 
Эргономичный салон
Вместительный багажник
Задние сиденья складываются в ровный пол
Тормоза отличные","Жор моторного масла
Низкий клиренс","Очень чувствителен к бензину, чек загорается, если некачественное топливо.
Часто перегорают лампы ближнего света"
120," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность,Не смог перестроить направление фар,Нет
121," Prius, 2016 год, 1800 куб. см., Бензин, Автомат, Полный привод ","Расход топлива:  по трассе 3.7л., город до 5л.
Очень хорошо держит дорогу
Хорошая ходовка, в меру мягкая и жесткая
Приемистый, хорош на разгон
Лучший гибрид без всяких роботов, проверен временем
Заводится в -40с лучше чем бензиновые 3S, 4S, 2MZ (предыдущие мои машины)",,
122," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ","Маленький расход топлива, большой салон",Маленький клиренс,"За 4 года эксплуатации только менял масло, не ломалось абсолютно ничего"
123," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Дорогу держит уверенно, по остальному претензий нет",Любит Кондёр летом,
124," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Бережно ухоженное авто,Не 4 вд,нет
125," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичность. Очень крепкая подвеска.,Масложор после 150000,Нет
126," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Эконлмия,Материалы,
127," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Быстро продаётся,"Это очень сложно назвать автомобилем, средняя цена которого от 700000 рублей. Экономия должна быть экономной.",
128," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Никогда не подведёт в любой мороз,Низкий клиренс,
129," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 G touring selection ",,Немного скрипит пластик салона зимой.,За шесть лет использования заменил только втулки стабилизатора!!!
130," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Маленький клиренс и шумоизоляция,
131," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Недостатков нет,Поломок не было
132," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономична
Бесшумная
Динамичная
Подвеска мягкая, неровности дороги слабо ощутимы.
По комфортности выше одноклассников'",Возраст.,Замена ВВБ при 140000км.
133," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ",Расход 3-5 л летом и ничего кроме жидкостей менять не надо,Убогий пластик салона,"Егр отключил, перекрасил пластик в салоне"
134," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Тачка радует глаз,очень комфортно,супер экономичная,на каждый день,голова за тачку не болит!!!Крутые тормоза и набор скорости хорош!!!Золотая середина все как я люблю!!!",Капризная батарейка!!!,За 4ре года владения были заменены обе ступицы+ движка с батарейкой и вариком!!!
135," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Неприхотлив. надежен. Научит ездить экономично. Не надо глушить. зимой можно почти не прогревать - готов в бой через пару минут. За счет электро мотора, не буксует, проедет по любой каше. (не сравнивайте с нивой. имею ввиду при клиренсе 15 см, проедет везде где в принципе возможно при такой высоте.)",требует чтоб следили за аккумулятором ВВБ,
136," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход 5-6 литров,Расход масла в двигателе,
137," Prius, 2002 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Неубиваемый
Экономичный
Эргономичный
Практичный","Минусы это на батарейках, а в этой машине одни плюсы",Слабая рейка
138," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",Экономичный автомобиль,Нет минусов,
139," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","очень качественная сборка, приятный салон, мягкая подвеска","свет фар - огромнейший минус, дорогие запчасти,","часто подводит сухарь на ручке АКПП включается 2 передачи, коробка уходит в аварийный режим"
140," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Конечно экономичный! Просторный салон. Неприхотлив в эксплуатации. Отличный семейный автомобиль,Очень шумный двигатель,Нет
141," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичность, резвость, вместительность",Слабая батарея,
142," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, двигатель запускается в любой мороз",,"Рулевая рейка,(249 000км), шлейф рулевой(253 000км)"
143," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Один большой плюс.,Не было.,"За год владения, 40000 км пробегу, только плановое то. Продал с пробегом 150 тыс."
144," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надежный, экономный","Слабая шумка, но соответствует классу",
145," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Твердый пластик в салоне,
146," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",хороший экономичный автомобиль,Шумновато в салоне,Замена помпы инвертора на 105 тыс.
